TANGGAL,TAVG,RR
08-08-20,28.7,0
09-08-20,28.7,-
10-08-20,28.9,-
11-08-20,27.8,13
12-08-20,29.5,1.5
01-09-20,27.5,15.1
02-09-20,28.1,0
03-09-20,28.5,30.7
05-09-20,-,1.6
06-09-20,28,1.7
07-09-20,27.3,0
08-09-20,29.4,0
09-09-20,28.3,8888
10-09-20,27.7,-
11-09-20,28.6,1.4
12-09-20,29.9,8888
01-10-20,26.7,7
02-10-20,28.6,0
03-10-20,28.7,-
05-10-20,-,1.2
06-10-20,28.6,-
08-10-20,28.6,-
09-10-20,-,13
10-10-20,28.2,1.5
11-10-20,29.7,8888
12-10-20,27.7,-
01-11-20,27.9,20.5
02-11-20,28.5,1.4
03-11-20,28.6,8
05-11-20,29.7,6
06-11-20,28.4,3
07-11-20,-,45.5
08-11-20,26.9,-
09-11-20,28.5,8888
10-11-20,28.2,1
11-11-20,30.2,-
12-11-20,27,38.7
01-12-20,28.2,0.8
02-12-20,29.9,-
03-12-20,-,9.5
04-12-20,29.6,-
06-12-20,-,39.8
07-12-20,-,-
08-12-20,28.6,10.4
09-12-20,29.1,0
11-12-20,29.7,-
12-12-20,27.4,8.5
01-01-21,26.8,42.9
02-01-21,27.5,0.3
03-01-21,29.1,0.2
04-01-21,27.1,8.2
05-01-21,29,20.2
06-01-21,29.9,0
06-01-21,29.9,0
07-01-21,26.5,15.7
09-01-21,27.7,5.8
10-01-21,27.8,0
10-01-21,27.8,0
11-01-21,26.1,0
12-01-21,29.5,0
01-02-21,26.6,5.5
02-02-21,27.1,7.9
03-02-21,27.8,29.5
04-02-21,28.3,8888
05-02-21,28.2,5.9
06-02-21,30.2,-
07-02-21,28.5,1.9
09-02-21,28.6,1.3
10-02-21,29.6,0
10-02-21,29.6,0
11-02-21,27.4,25.9
12-02-21,29.8,-
01-03-21,26.8,5.7
02-03-21,26.2,11.9
03-03-21,27.5,15.6
04-03-21,27,39.5
05-03-21,27.6,-
06-03-21,29.3,-
07-03-21,27.6,0
09-03-21,27.8,-
10-03-21,29.6,-
10-03-21,29.6,-
11-03-21,28.6,-
12-03-21,29.2,0
01-04-21,27.5,0.2
02-04-21,26.2,15.3
03-04-21,28,52.9
04-04-21,28.6,8888
05-04-21,27.5,-
06-04-21,27.9,14.2
07-04-21,28,0.2
09-04-21,29.3,-
09-04-21,29.3,-
10-04-21,29.3,0
10-04-21,29.3,0
11-04-21,30,-
12-04-21,26.1,6
01-05-21,28.2,8888
02-05-21,27.5,26.7
03-05-21,29.2,-
04-05-21,29.2,0
05-05-21,27.8,50.2
06-05-21,28.4,19.5
07-05-21,29.6,-
09-05-21,28.1,-
10-05-21,29.3,-
10-05-21,29.3,-
11-05-21,28.1,-
12-05-21,27,27.2
01-06-21,26.7,7.4
02-06-21,28.3,-
03-06-21,28.9,-
04-06-21,29.5,-
05-06-21,28,8888
06-06-21,29.5,-
07-06-21,29.6,-
09-06-21,25.6,17.3
10-06-21,29.1,-
10-06-21,29.1,-
11-06-21,29.4,-
12-06-21,27.2,6.7
01-07-21,27.4,4.5
02-07-21,27.4,8888
03-07-21,27.2,2.5
04-07-21,30.1,0
05-07-21,28.2,1
06-07-21,29.7,0.3
07-07-21,27.4,0
09-07-21,26.1,66
10-07-21,29.7,8888
10-07-21,29.7,8888
11-07-21,-,-
12-07-21,27.2,36.8
01-08-21,28,-
02-08-21,27,22.3
03-08-21,27.2,10.1
04-08-21,29.5,-
05-08-21,28,-
06-08-21,29.7,-
07-08-21,28.2,0
09-08-21,28.3,8.2
10-08-21,29.4,-
10-08-21,29.4,-
11-08-21,28.3,34.6
12-08-21,28.4,1.7
01-09-21,26.8,0
02-09-21,27.7,26.9
03-09-21,27.4,-
04-09-21,29.7,0
05-09-21,28.6,11
06-09-21,29.7,8888
07-09-21,28.3,0
09-09-21,28.7,-
10-09-21,29.8,0.7
10-09-21,29.8,0.7
11-09-21,27.5,15.6
12-09-21,27.3,2.4
01-10-21,26.7,31
02-10-21,26.9,9.7
03-10-21,27.5,6.5
04-10-21,27.2,12.6
05-10-21,28.4,3
06-10-21,30.1,-
07-10-21,27.1,-
07-10-21,27.1,-
09-10-21,28.8,0.8
10-10-21,29.2,-
10-10-21,29.2,-
11-10-21,27.4,70.7
12-10-21,27.7,7.8
01-11-21,27.4,1.8
02-11-21,26.8,10.2
03-11-21,27.9,0
04-11-21,26.9,8
05-11-21,29.4,1.5
06-11-21,28.5,-
07-11-21,27.1,29.9
09-11-21,29.3,0
10-11-21,29.5,4.5
10-11-21,29.5,4.5
11-11-21,27,14.8
12-11-21,28.5,19
01-12-21,26.8,19.8
02-12-21,27.6,-
03-12-21,26.5,4
04-12-21,27.3,0.7
05-12-21,28.9,-
06-12-21,29.7,-
07-12-21,28,-
09-12-21,27.6,0
10-12-21,29.6,1.5
10-12-21,29.6,1.5
11-12-21,28.2,0.4
12-12-21,28.3,-
01-01-22,26,0.8
02-01-22,28.3,8888
03-01-22,28.8,0
04-01-22,27.9,8.8
05-01-22,28,-
06-01-22,27.5,-
07-01-22,29.4,-
08-01-22,28,-
09-01-22,27.4,24.9
10-01-22,-,19.9
11-01-22,29,0
12-01-22,29,0
01-02-22,26.1,13.1
02-02-22,27.2,4.5
03-02-22,28.4,8888
04-02-22,28.6,-
05-02-22,28.8,-
06-02-22,29.7,7
07-02-22,25.7,-
09-02-22,26.2,2.7
10-02-22,27.9,19.5
11-02-22,29.4,-
12-02-22,27.4,0
01-03-22,26.7,17.2
02-03-22,29.5,-
03-03-22,28.6,8888
04-03-22,28.7,1.3
06-03-22,28.9,-
07-03-22,27.3,0.2
08-03-22,27.6,-
09-03-22,27.8,21.7
10-03-22,-,19.2
11-03-22,28.8,0
12-03-22,27.7,8888
01-04-22,26.1,12.4
02-04-22,27.5,1
03-04-22,27.7,10.4
04-04-22,29.6,0
05-04-22,27.1,6.8
06-04-22,29.4,0
07-04-22,28.7,8888
08-04-22,28.2,57.4
09-04-22,28.9,-
10-04-22,27.7,1
11-04-22,29.3,0.4
12-04-22,28.9,1.4
01-05-22,26.1,19
02-05-22,27,32.5
03-05-22,27.8,-
04-05-22,28.6,0
05-05-22,28,4.9
06-05-22,29.2,-
07-05-22,28.6,-
08-05-22,28,-
09-05-22,29.3,-
10-05-22,28.1,0.2
11-05-22,29.6,2.3
12-05-22,29.1,-
01-06-22,26.1,21.3
02-06-22,27.9,1
03-06-22,-,33.2
