Data Bencana,,,,,,,,,,,,,,,
No.,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Lokasi,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
1544,1806 101 2023 06 029 1,1806,29-06-23,BANJIR,Kec. Semaka Ds. Srikaton Ds. Sukajaya Ds. Kacapura Ds. Sukaraja Ds. Sidodadi Ds. Bangunrejo Ds. Sripurnomo Ds. Pardawaras Ds. Waykerap Ds. Sedayu,TANGGAMUS,LAMPUNG,Dokumentasi,"?curah hujan dengan intensitas tinggi mengakibatkan banjir serta tertutupnya jalan oleh material longsor seperti batu, lumpur dan kayu",,,,5,1224,0
1629,1871 101 2023 05 08 1,1871,08-05-23,BANJIR,Kec. Bumi waras Kel. Bumi Raya,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,?Dipicu curah hujan dengan intensitas yang tinggi,,,,0,10,0
1666,1871 101 2023 05 02 1,1871,02-05-23,BANJIR,Kec. Sukabumi  Kel. Way Laga Kec. Bumi Waras Kel. Way lunik,KOTA BANDAR LAMPUNG,LAMPUNG,Dokumentasi,?curah hujan dengan intensitas sedang-tinggi,,,,0,23,0
1716,1811 101 2023 04 010 1,1811,10-04-23,BANJIR,Kec. Mesuji Timur Kec. Simpang Pematang Ds. Margo Makmur Kec. Tanjung Raya Ds. Muara Tenang,MESUJI,LAMPUNG,Dokumentasi,?Hujan dengan intensitas tinggi,,,,0,225,0
1736,1811 101 2023 04 04 1,1811,04-04-23,BANJIR,Desa Aji Jaya kec. Simpang Pematang dan Desa Adi luhur Kec. Panca Jaya Kab. Mesuji,MESUJI,LAMPUNG,Dokumentasi,,,,,4,,0
1744,1801 101 2023 04 04 1,1801,04-04-23,BANJIR,Kec. Natar  Ds. Rulung Sari,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?hujan deras berdurasi lama,2,,,0,,1
1830,1810 101 2023 03 022 1,1810,22-03-23,BANJIR,Kec. Gadingrejo Pekon Pararejo,PRINGSEWU,LAMPUNG,Dokumentasi,?hujan dengan intensitas tinggi,,,,0,250,0
1836,1809 101 2023 03 021 1,1809,21-03-23,BANJIR,Kec. Gedong Tataan  Ds. Gedong Tataan  Ds. Bagelen Ds. Padang Ratu Ds. Sukadadi  Kec. Way Lima  Ds. Batu Raja Ds. Banjar Negeri Ds. Padang Manis Kec. Way Khilau  Ds. Tanjung Rejo,PESAWARAN,LAMPUNG,Dokumentasi,?hujan dengan intensitas tinggi mulai pukul 16.30 s.d 20.00 wib sehingga mengakibatkan meluapnya aliran sungai,,,,409,612,1
1930,1804 101 2023 03 09 1,1804,09-03-23,BANJIR,Kec.Pagar Dewa Ds. Sidomulyo,LAMPUNG BARAT,LAMPUNG,Dokumentasi,?curah hujan yang cukup tinggi mengakibatkan banjir bandang dan tanah longsor sehingga mengganggu aktivitas masyarakat setempat,,,,17,,0
1932,1801 101 2023 03 09 1,1801,09-03-23,BANJIR,Kec Katibung Desa Rangai Tri Tunggal Desa Tarahan Desa Tanjung Ratu       Kec Merbau Mataram Desa Baru Ranji          Kec Sragi Desa Bandaragung,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,?Dipicu oleh intensitas curah hujan yang cukup tinggi,,,,1,222,0
